gene_id	WT_sIM_rep4	WT_sFM_rep3
gene:Solyc00g500080.1	1.0	1.08
gene:Solyc00g500081.1	0.1	0.01
gene:Solyc00g500082.1	0.0	0.0
gene:Solyc00g500083.1	0.11	0.0
gene:Solyc00g500084.1	0.26	0.17
gene:Solyc00g500085.2	0.05	0.18
gene:Solyc00g500086.1	0.1	0.12
gene:Solyc00g500087.1	0.2	0.04
gene:Solyc00g500088.2	0.0	0.0
gene:Solyc00g500089.1	0.0	0.0
gene:Solyc00g500091.2	0.0	0.0
gene:Solyc00g500092.2	0.0	0.0
gene:Solyc00g500093.1	0.0	0.0
gene:Solyc00g500095.1	0.0	0.0
gene:Solyc00g500096.2	0.0	0.0
gene:Solyc00g500097.1	0.0	0.0
gene:Solyc00g500098.1	0.0	0.0
gene:Solyc00g500099.1	0.24	0.0
gene:Solyc00g500101.1	0.17	0.09
gene:Solyc00g500102.1	0.21	0.07
gene:Solyc00g500103.1	0.0	0.0
gene:Solyc00g500104.2	0.0	0.0
gene:Solyc00g500106.1	0.0	0.0
gene:Solyc00g500107.1	0.0	0.0
gene:Solyc00g500108.1	0.0	0.0
gene:Solyc00g500109.1	0.0	0.0
gene:Solyc00g500110.1	0.0	0.0
gene:Solyc00g500111.1	0.0	0.0
gene:Solyc00g500112.1	0.26	0.0
gene:Solyc00g500113.1	0.0	0.0
gene:Solyc00g500114.1	0.0	0.0
gene:Solyc00g500116.1	0.14	0.0
gene:Solyc00g500118.1	0.17	0.09
gene:Solyc00g500119.1	0.21	0.07
gene:Solyc00g500120.1	0.0	0.0
gene:Solyc00g500121.1	0.0	0.0
gene:Solyc00g500122.1	0.0	0.0
gene:Solyc00g500123.1	0.1	0.12
gene:Solyc00g500124.1	0.05	0.01
gene:Solyc00g500125.1	0.05	0.04
gene:Solyc00g500126.1	0.0	0.03
gene:Solyc00g500127.1	0.0	0.0
gene:Solyc00g500128.1	0.0	0.01
gene:Solyc00g500129.1	0.0	0.0
gene:Solyc00g500130.1	0.56	0.09
gene:Solyc00g500131.1	0.08	0.11
gene:Solyc00g500132.1	0.13	0.0
gene:Solyc00g500133.1	0.0	0.0
gene:Solyc00g500134.1	0.02	0.0
gene:Solyc00g500135.1	0.0	0.0
gene:Solyc00g500136.1	0.32	0.07
gene:Solyc00g500137.1	0.33	0.28
gene:Solyc00g500138.1	0.2	0.06
gene:Solyc00g500139.1	0.08	0.0
gene:Solyc00g500140.1	0.0	0.0
gene:Solyc00g500141.1	0.0	0.0
gene:Solyc00g500142.1	0.0	0.0
gene:Solyc00g500144.1	0.0	0.0
gene:Solyc00g500145.1	0.0	0.0
gene:Solyc00g500147.1	0.0	0.0
gene:Solyc00g500148.1	0.0	0.0
gene:Solyc00g500149.1	0.0	0.0
gene:Solyc00g500150.1	0.0	0.0
gene:Solyc00g500151.1	0.0	0.0
gene:Solyc00g500152.1	0.0	0.0
gene:Solyc00g500153.1	0.0	0.0
gene:Solyc00g500154.1	0.0	0.0
gene:Solyc00g500155.1	0.0	0.0
gene:Solyc00g500156.1	0.0	0.0
gene:Solyc00g500157.1	0.0	0.0
gene:Solyc00g500158.1	0.12	0.0
gene:Solyc00g500159.1	0.0	0.0
gene:Solyc00g500161.1	0.0	0.0
gene:Solyc00g500162.1	0.0	0.0
gene:Solyc00g500163.1	0.0	0.0
gene:Solyc00g500164.1	0.0	0.0
gene:Solyc00g500165.1	0.0	0.0
gene:Solyc00g500166.1	0.0	0.0
gene:Solyc00g500167.1	0.04	0.0
gene:Solyc00g500168.1	0.0	0.0
gene:Solyc00g500169.1	1.28	0.39
gene:Solyc00g500170.1	0.0	0.0
gene:Solyc00g500171.1	0.17	0.1
gene:Solyc00g500172.1	0.11	0.0
gene:Solyc00g500173.1	0.0	0.0
gene:Solyc00g500174.1	0.0	0.0
gene:Solyc00g500176.1	0.0	0.0
gene:Solyc00g500177.1	0.0	0.0
gene:Solyc00g500178.1	0.0	0.0
gene:Solyc00g500179.1	0.0	0.0
gene:Solyc00g500180.1	0.0	0.0
gene:Solyc00g500181.1	0.0	0.0
gene:Solyc00g500183.1	0.0	0.0
gene:Solyc00g500184.1	0.14	0.0
gene:Solyc00g500185.1	0.06	0.0
gene:Solyc00g500186.1	0.06	0.0
gene:Solyc00g500187.1	0.05	0.03
gene:Solyc00g500188.1	0.17	0.1
gene:Solyc00g500189.1	0.11	0.0
gene:Solyc00g500190.1	0.0	0.0
gene:Solyc00g500191.2	0.0	0.0
gene:Solyc00g500192.1	0.03	0.01
gene:Solyc00g500193.1	0.1	0.12
gene:Solyc00g500194.1	0.0	0.0
gene:Solyc00g500195.1	0.06	0.0
gene:Solyc00g500196.2	0.0	0.0
gene:Solyc00g500197.1	0.0	0.0
gene:Solyc00g500198.1	0.0	0.01
gene:Solyc00g500199.1	0.0	0.0
gene:Solyc00g500200.1	0.56	0.09
gene:Solyc00g500201.1	0.08	0.11
gene:Solyc00g500202.1	0.13	0.0
gene:Solyc00g500203.1	0.0	0.0
gene:Solyc00g500204.1	0.02	0.0
gene:Solyc00g500205.1	0.0	0.0
gene:Solyc00g500206.1	0.32	0.07
gene:Solyc00g500207.1	0.33	0.28
gene:Solyc00g500208.1	0.2	0.06
gene:Solyc00g500209.1	0.33	0.17
gene:Solyc00g500210.1	0.0	0.13
gene:Solyc00g500211.1	0.0	0.0
gene:Solyc00g500213.1	0.0	0.0
gene:Solyc00g500214.1	0.0	0.0
gene:Solyc00g500215.1	0.0	0.0
gene:Solyc00g500216.2	0.0	0.0
gene:Solyc00g500218.1	0.0	0.0
gene:Solyc00g500219.1	0.0	0.0
gene:Solyc00g500220.1	0.0	0.0
gene:Solyc00g500222.2	0.0	0.0
gene:Solyc00g500224.1	0.0	0.0
gene:Solyc00g500225.1	0.0	0.0
gene:Solyc00g500226.1	0.0	0.0
gene:Solyc00g500227.1	0.0	0.02
gene:Solyc00g500228.1	0.42	0.2
gene:Solyc00g500229.1	0.0	0.0
gene:Solyc00g500230.1	0.0	0.0
gene:Solyc00g500232.1	0.0	0.0
gene:Solyc00g500233.1	0.0	0.0
gene:Solyc00g500235.1	0.0	0.0
gene:Solyc00g500236.1	0.0	0.0
gene:Solyc00g500237.1	0.0	0.0
gene:Solyc00g500238.1	0.0	0.0
gene:Solyc00g500239.1	0.0	0.0
gene:Solyc00g500240.1	0.11	0.04
gene:Solyc00g500241.1	0.0	0.0
gene:Solyc00g500242.1	0.0	0.0
gene:Solyc00g500244.1	0.17	0.09
gene:Solyc00g500245.1	0.38	0.07
gene:Solyc00g500246.1	0.0	0.0
gene:Solyc00g500247.1	0.0	0.0
gene:Solyc00g500248.1	0.0	0.0
gene:Solyc00g500249.1	0.04	0.0
gene:Solyc00g500250.1	0.62	0.18
gene:Solyc00g500251.1	0.05	0.03
gene:Solyc00g500252.1	0.17	0.1
gene:Solyc00g500253.1	0.11	0.0
gene:Solyc00g500254.1	0.0	0.0
gene:Solyc00g500255.1	0.15	0.17
gene:Solyc00g500256.1	0.0	0.07
gene:Solyc00g500258.1	0.0	0.0
gene:Solyc00g500259.1	0.0	0.0
gene:Solyc00g500260.1	0.15	0.06
gene:Solyc00g500261.2	0.0	0.0
gene:Solyc00g500262.1	0.0	0.0
gene:Solyc00g500263.1	0.07	0.0
gene:Solyc00g500264.1	0.0	0.0
gene:Solyc00g500265.1	0.0	0.0
gene:Solyc00g500266.1	0.0	0.0
gene:Solyc00g500267.1	0.0	0.0
gene:Solyc00g500269.1	0.0	0.0
gene:Solyc00g500270.1	0.0	0.0
gene:Solyc00g500271.1	0.0	0.0
gene:Solyc00g500272.1	0.24	0.0
gene:Solyc00g500275.1	0.17	0.09
gene:Solyc00g500276.1	0.21	0.07
gene:Solyc00g500277.1	0.0	0.0
gene:Solyc00g500278.1	0.0	0.03
gene:Solyc00g500279.1	0.0	0.0
gene:Solyc00g500280.1	0.0	0.0
gene:Solyc00g500282.1	0.0	0.0
